country,Ausreisser_T2,Ausreisser_SPE,T2_Wert,SPE_Wert,Ausreisser_gesamt
Zimbabwe,True,False,31.182077639133013,2.0394092466435345,True
Zambia,False,False,3.133539214687988,0.32696816880869695,False
West Bank and Gaza,False,False,21.70176051702154,2.47018819240793,False
Viet Nam,False,False,5.843614255074773,0.22561684518344946,False
Vanuatu,False,False,4.610908994604907,0.7653050734703521,False
Uzbekistan,False,False,3.104753541313788,0.3159325585987742,False
Uruguay,False,False,1.3291135174771105,0.13096611543190187,False
United States,False,False,12.778684686058243,1.7897053006782253,False
United Kingdom,False,False,6.733491106414041,0.9705735448813682,False
United Arab Emirates,False,False,7.399939491535965,1.3531478340340348,False
Ukraine,True,True,41.776254270593974,4.822139828913337,True
Uganda,False,False,6.428938323160921,0.9981621042177468,False
Turkiye,False,False,16.19102498172319,1.5805954815882701,False
Tunisia,False,False,9.123341184950291,1.344658476981927,False
Trinidad and Tobago,False,False,5.898000833920914,1.0498482238256066,False
Tonga,False,False,7.262572994981689,0.9519503456862558,False
Togo,False,False,7.4859212017631656,0.7927243126739878,False
Timor-Leste,False,False,27.96907934406294,2.685110049838194,False
Thailand,False,False,5.625503273958756,0.8939235211175925,False
Tanzania,False,False,6.146349619987965,0.5389010087320012,False
Tajikistan,False,False,8.719319085893872,1.0605036710403055,False
Switzerland,False,False,20.048022887398403,3.1359895931157253,False
Sweden,False,False,8.587916789998705,1.5310978840181761,False
Suriname,False,False,9.674984259565944,0.9091353210845564,False
Sudan,True,False,50.719956549395675,3.1247588965242485,True
St. Vincent and the Grenadines,False,False,16.993472413174402,2.038408138051623,False
St. Lucia,False,False,13.481667124335267,2.5551338223996374,False
Sri Lanka,False,False,16.295172992234406,2.4609078788119274,False
Spain,False,False,5.681992904038667,0.8419964986456007,False
South Africa,True,False,36.400265908723625,3.0109737792845293,True
Solomon Islands,False,False,9.648167109349691,1.4042330101898202,False
Slovenia,False,False,2.6058590994045203,0.7090981912669869,False
Slovak Republic,False,False,3.980945428296406,0.3641876727388877,False
Singapore,False,False,21.635853173205174,3.5000555862069347,False
Sierra Leone,False,False,5.533201686040708,0.7634824237997484,False
Serbia,False,False,2.336395932939418,0.5202259848817462,False
Senegal,False,False,9.670903468888726,1.4205321255378507,False
Saudi Arabia,False,False,9.564598093881978,2.1649931027911173,False
Sao Tome and Principe,False,False,4.149123852351732,0.772102270499976,False
San Marino,False,False,8.953552293783344,2.1668469504607586,False
Samoa,False,False,10.430532262777906,0.4785855863559853,False
Rwanda,False,False,8.853036124078214,1.9302878966862194,False
Russian Federation,False,False,8.427625275254325,1.0880359281823146,False
Romania,False,False,4.4743830291810225,0.8143704611913499,False
Qatar,False,False,25.2407913961715,3.7899089011183467,False
Portugal,False,False,2.8884707285625972,0.6517635345361706,False
Poland,False,False,2.7284867518670035,0.39375043393927667,False
Philippines,False,False,6.700625274120168,0.6095690185987671,False
Peru,False,False,3.186010317928295,0.40786578999960565,False
Paraguay,False,False,3.3942590962120063,0.5841860981112035,False
Papua New Guinea,False,False,9.115575331207657,0.707781598393824,False
Panama,False,False,4.51261922884909,0.7759717735856695,False
Pakistan,False,False,2.900189852757316,0.5301609330325942,False
Oman,False,False,4.726079976583034,0.7835122825911979,False
Norway,True,True,70.73740939765143,6.580720072289872,True
North Macedonia,False,False,7.299153946605918,1.159262798645665,False
Nigeria,False,False,3.4449971684135816,0.35033033723220613,False
Niger,False,False,9.684769837092198,0.6403262118315122,False
Nicaragua,False,False,4.6585968956416774,0.1830831252648856,False
New Zealand,False,False,6.927103076895389,0.9565385511646669,False
Netherlands,False,False,9.02366851526196,1.9033002869393263,False
Nepal,False,False,4.756459026450009,0.9466993044874376,False
Namibia,False,False,16.20360943968796,2.0766950894035143,False
Mozambique,False,False,16.344931354493845,2.0169522620920657,False
Morocco,False,False,4.201409311628123,0.664634906575741,False
Montenegro,False,False,9.112329255849833,1.663457060484557,False
Mongolia,False,False,6.3244439282987805,0.6791331232687334,False
Moldova,False,False,12.08416835426089,1.9280796104546618,False
Mexico,False,False,3.1810970095645272,0.5065920296327757,False
Mauritius,False,False,5.173207583746014,0.772449562748458,False
Mauritania,False,False,7.124257349048565,1.3542681192303012,False
Malta,False,False,4.858287014481725,0.941791708369065,False
Mali,False,False,5.214320732069295,0.6017620417230197,False
Maldives,False,False,9.64866672249704,0.8676713290996496,False
Malaysia,False,False,5.013585807596005,0.24061071892606437,False
Malawi,False,False,11.557183363830065,2.246138671609616,False
Madagascar,False,False,4.750022637371011,0.5751380372640978,False
"Macao SAR, China",True,True,82.30745948295315,5.87121274967484,True
Luxembourg,True,False,30.10404084190207,3.594379733407906,True
Lithuania,False,False,2.933461477908884,0.16814815221005122,False
Libya,False,False,20.59121726379034,0.41568057563037875,False
Liberia,False,False,5.3005403760557295,0.5657388584181006,False
Lesotho,False,False,11.920588539481125,1.673865597723624,False
Lebanon,True,True,84.82938289501031,5.029408208533236,True
Latvia,False,False,2.476510525245415,0.573549081047172,False
Lao PDR,False,False,6.660594253468823,0.45435801110167506,False
